"Pathway","Mean_non_Tfh","Mean_Tfh","P_value","Cliffs_delta"
"PID-AURORA-A-PATHWAY",1955.16802616371,2251.53591115376,1.30528481793711e-24,-0.149708210740423
"PID-AURORA-B-PATHWAY",3769.80514995497,3953.71073736732,1.65101732940619e-13,-0.107807631623353
"PID-AVB3-INTEGRIN-PATHWAY",7933.43452435082,7980.64603121525,7.15290693112192e-06,-0.0656268662074841
"PID-AVB3-OPN-PATHWAY",8874.05632105763,8987.50411697604,3.30069935916456e-07,-0.0746370773147679
"PID-BARD1-PATHWAY",6135.55289060171,6429.02490014567,7.75262608912962e-30,-0.165871155632541
"PID-BCR-5PATHWAY",7889.29953824221,8214.64262633658,1.7524894905389e-50,-0.218442079329035
"PID-BETA-CATENIN-DEG-PATHWAY",8111.64972013297,8345.40633599818,5.64939525701744e-17,-0.122396615612271
"PID-BETA-CATENIN-NUC-PATHWAY",8214.41127873903,8172.59586709962,0.00246749753955794,0.0442567077635463
"PID-BMP-PATHWAY",7353.86311943416,7325.61845560369,0.261364451095545,0.0164199115839335
"PID-CASPASE-PATHWAY",7992.68153080492,7696.32931511127,1.66666187838948e-73,0.265128817042224
"PID-CD40-PATHWAY",8178.09687400739,8093.82720716112,0.00120649131541885,0.0473273525282389
"PID-CD8-TCR-DOWNSTREAM-PATHWAY",9833.9169548273,10026.7061841494,5.20379731749403e-20,-0.133907564706179
"PID-CD8-TCR-PATHWAY",9865.80462637283,10044.1236397565,1.40502145250226e-15,-0.116734544101264
"PID-CDC42-PATHWAY",8281.00605181648,8508.35274170618,3.36873778708017e-36,-0.183662392571113
"PID-CDC42-REG-PATHWAY",6820.33103994901,6882.32571756228,0.0142885271400507,-0.035815992871535
"PID-CERAMIDE-PATHWAY",7349.27419444118,7481.4543683175,1.05890143410095e-10,-0.0944150732382442
"PID-CIRCADIAN-PATHWAY",6424.29458707006,6210.14901187167,6.57871864273222e-19,0.12984477213742
"PID-CMYB-PATHWAY",7086.03478441075,7456.70813424065,2.18744310402323e-93,-0.29968214684563
"PID-CONE-PATHWAY",5040.07717226584,4876.46608998223,2.52664031294446e-45,0.206550629759991
"PID-CXCR3-PATHWAY",7413.39496359991,7686.25194084186,1.10794173133109e-42,-0.200190190934053
"PID-CXCR4-PATHWAY",8335.46655923192,8399.08350555257,3.40824101150413e-06,-0.0678995593703226
"PID-DELTA-NP63-PATHWAY",5596.63790165739,5749.75822778341,1.31142004427489e-15,-0.116858807773997
"PID-DNA-PK-PATHWAY",7292.84998321915,7601.44463656785,1.66335638693115e-20,-0.135695291971504
"PID-E2F-PATHWAY",4777.07031988726,5022.81648051467,1.11077193230364e-41,-0.197727179106514
"PID-ECADHERIN-KERATINOCYTE-PATHWAY",7065.52781420618,7244.09986729693,3.65027843280143e-18,-0.127028995632479
"PID-ECADHERIN-NASCENT-AJ-PATHWAY",7777.88043757069,8221.02885254149,8.08584715910519e-76,-0.269377320848757
"PID-ECADHERIN-STABILIZATION-PATHWAY",7343.36352055058,7754.82821049822,5.17436636611623e-107,-0.321233409100416
"PID-ENDOTHELIN-PATHWAY",7197.82493752447,7124.99277602743,8.52651567717487e-07,0.0719690577980723
"PID-EPHA2-FWD-PATHWAY",8576.82955482213,9014.90549201673,3.31080084863218e-59,-0.237208904705592
"PID-EPHA-FWDPATHWAY",7978.01421054202,7957.03165921003,0.106062054857017,0.0236268396577567
"PID-EPHB-FWD-PATHWAY",7946.59562216798,8058.07334488541,1.99983351145322e-08,-0.082043173962436
"PID-EPHRINB-REV-PATHWAY",8202.59451644763,8555.86767160941,2.07406273728859e-78,-0.274056276937196
"PID-EPO-PATHWAY",7407.77121539105,7660.04532013475,3.67761609332811e-21,-0.138025965724667
"PID-ERA-GENOMIC-PATHWAY",5670.89530631057,6154.81235386377,7.12228397289017e-81,-0.27843387993383
"PID-ERBB1-DOWNSTREAM-PATHWAY",9062.85135061436,9182.03828733745,4.05142385885789e-10,-0.0913997175966621
