"","pathwayName","fc","adj_pval","logQ","threshold"
"131","PID_NOTCH_PATHWAY",-0.135581058332854,0.977577645438646,0.00984873813020723,"cond3"
"132","PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY",1.30584111071973,0.345675464563452,0.461331444822224,"cond3"
"133","PID_P38_ALPHA_BETA_PATHWAY",-0.000875968942928663,0.999016969395125,0.000427134744916265,"cond3"
"134","PID_P38_GAMMA_DELTA_PATHWAY",-0.261316707046657,0.977577645438646,0.00984873813020723,"cond3"
"135","PID_P38_MK2_PATHWAY",0.854000478715096,0.913238656353937,0.0394157136011118,"cond3"
"136","PID_P38_MKK3_6PATHWAY",-0.381553792003258,0.977577645438646,0.00984873813020723,"cond3"
"137","PID_P53_DOWNSTREAM_PATHWAY",0.385380426533648,0.81409028298799,0.0893274289815075,"cond3"
"138","PID_P53_REGULATION_PATHWAY",0.601593572754573,0.830767479973555,0.0805205120700838,"cond3"
"139","PID_P73PATHWAY",0.422585551821108,0.913238656353937,0.0394157136011118,"cond3"
"140","PID_P75_NTR_PATHWAY",-0.230989032834078,0.977577645438646,0.00984873813020723,"cond3"
"141","PID_PDGFRA_PATHWAY",1.11496018665649,0.800281994985771,0.0967569538998543,"cond3"
