"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-FRA-PATHWAY",6012.15976619613,5807.84221413231,0.137128475453979,6.59548093558883e-21
"PID-GLYPICAN-1PATHWAY",7396.42578005682,7497.62169503885,-0.0785243770975482,7.81629943020435e-08
"PID-GMCSF-PATHWAY",8144.08793581616,7850.07736269448,0.154648376002897,3.75125944699579e-26
"PID-HDAC-CLASSIII-PATHWAY",6349.28511902789,6185.82789844932,0.0781910001077043,8.86790821146807e-08
"PID-HDAC-CLASSII-PATHWAY",9068.47937522128,8885.19487409125,0.107254284211365,2.19190870412022e-13
"PID-HDAC-CLASSI-PATHWAY",7813.5980776131,7402.71813469937,0.242666287854061,7.06768519985064e-62
"PID-HEDGEHOG-2PATHWAY",8764.37169661726,8967.41005147181,-0.215378870312747,3.9803708734924e-49
"PID-HEDGEHOG-GLI-PATHWAY",8062.4409838442,7899.234925113,0.123004750348397,3.96530837088769e-17
"PID-HES-HEY-PATHWAY",8335.51227514442,8048.09693131236,0.222250277346573,3.39675396957516e-52
"PID-HIF1A-PATHWAY",8112.94526011856,7740.00969367881,0.172147839648223,5.22273359258606e-32
"PID-HIF1-TFPATHWAY",8224.49361151503,8230.60001959848,-0.00579089699257735,0.69202167904355
"PID-HIF2PATHWAY",8286.98683628227,8228.1049216369,0.0480260391697891,0.00101934070614919
"PID-HIV-NEF-PATHWAY",8817.86182227393,8790.36207594617,0.0233658129560754,0.109977529268835
"PID-HNF3A-PATHWAY",4846.09123811306,4584.37538241306,0.161880485261503,1.69348505029925e-28
"PID-HNF3B-PATHWAY",5185.19962804527,4898.22527450149,0.330983819309672,1.73612415188951e-113
"PID-IFNG-PATHWAY",8139.63800350358,8010.61800925179,0.0713432688617452,1.06028036281039e-06
"PID-IGF1-PATHWAY",8032.5038377691,7926.64928386133,0.0496295149761675,0.000686746343610356
"PID-IL12-2PATHWAY",8753.19489110663,8832.49764647669,-0.0635556225229093,1.37756286062942e-05
"PID-IL12-STAT4-PATHWAY",9792.81628433966,10032.3182138839,-0.159598394772459,9.55553935476647e-28
"PID-IL1-PATHWAY",9017.68758281621,9028.93092780594,-0.0128003899799139,0.381255680827623
"PID-IL23-PATHWAY",7800.48929099795,7989.4857483608,-0.155818662442067,1.59146901648374e-26
"PID-IL27-PATHWAY",7091.79740637658,7368.24113865956,-0.187556443830972,1.12135860895947e-37
"PID-IL2-1PATHWAY",9139.69095511259,8873.93907227066,0.166192763155584,6.02717431954574e-30
"PID-IL2-PI3K-PATHWAY",9375.40026394396,8990.55317789497,0.203903503327771,3.25112304512042e-44
"PID-IL2-STAT5-PATHWAY",9274.13153089883,8944.21938959117,0.183950242708758,2.6259205262757e-36
"PID-IL3-PATHWAY",8042.31724873868,7826.3917784819,0.127399049565376,2.92033354958262e-18
"PID-IL4-2PATHWAY",6824.51483436992,6891.56851467528,-0.0671045273261245,4.42898214145411e-06
"PID-IL5-PATHWAY",8523.47771070168,8129.31154781846,0.167374545353024,2.379896716358e-30
"PID-IL6-7-PATHWAY",8301.7691307202,8214.34375704915,0.0577334771397951,7.8427994770373e-05
"PID-IL8-CXCR1-PATHWAY",6722.1913963827,6842.83848323897,-0.0713463708917547,1.05914016862489e-06
"PID-IL8-CXCR2-PATHWAY",7245.53218543767,7130.77653586994,0.0628382324651253,1.72085578955623e-05
"PID-ILK-PATHWAY",7826.31390531219,7503.01049657709,0.216202596134533,1.72614086083482e-49
"PID-INSULIN-GLUCOSE-PATHWAY",7399.82598821334,6801.33698357615,0.296081876074905,3.34549804304615e-91
"PID-INSULIN-PATHWAY",8289.08842350809,7991.97460029313,0.186738329034057,2.30539848339799e-37
"PID-INTEGRIN1-PATHWAY",6713.72591217332,6913.06561010837,-0.286929017205273,9.11589468155141e-86
