Genes,Naive,Early Extra-GC,Late Extra-GC,GC
NFATC3,1.6533045945396823,1.4959559586771076,1.5075167810781838,1.4185692950616875
ARID5A,1.6488303141447611,1.484527262853485,1.4185692950616875,1.6311307370453605
ERG,1.5756794325091463,1.4473482596117306,1.6355263485183984,1.6094379124341003
FOXP1,1.5840128140682908,1.5924162248646696,1.4221216966660553,1.6355263485183984
PRDM16,1.6137389943334912,1.3467435604904319,1.4256867628305516,1.4921318622387043
RORA,1.4400755002826509,1.563308140706599,1.3871530988283083,1.5350234268680172
LHX8,1.5430234695350935,1.4583575451201003,1.4997947349842733,1.480746540013579
ETV5,1.4959559586771076,1.3566938913436,1.531047278488378,1.484527262853485
TFAP2B,1.476980057218102,1.4732277075995517,1.3735010096599811,1.4997947349842733
CXXC1,1.3768965986611195,1.4044845551799485,1.3434486645935793,1.4883223338220364
FOXO4,1.3600327926091147,1.3533661012509255,1.4510045708148414,1.3905954430192813
NFE4,1.4185692950616875,1.3803037569827337,1.3533661012509255,1.3803037569827337
ZFP57,1.4150294683565634,1.3975158858638552,1.3701169116757406,1.4079871857311503
SOX17,1.3837225637315191,1.3871530988283083,1.3500493486249312,1.4044845551799485
ZFP82,2.966131803777702,1.2374304705167822,3.969433912641486,3.148453360571655
SOX4,3.6264891615146557,1.7823617067692836,1.33689126404742,2.72974302571347
POU2F2,1.8455406083908155,1.3600327926091147,3.2762867320815405,2.9173416396082685
NR2F6,3.2103287642897445,1.1523934278308698,1.6355263485183984,1.6714046361833004
FOSL2,2.9333419809547108,1.9365123865965426,1.8029809939720194,0.7913800822935394
RREB1,2.063264092235686,2.549616859482951,0.9490090264971226,2.010620358750264
HSF2,2.5386877889507615,1.9728800307674168,1.1578430325984346,1.9728800307674168
GFI1,0.8319653624086177,2.5386877889507615,1.596644560974191,1.3206834538205667
TBP,1.966726165193039,1.182740584220162,2.50659947439926,2.056530060054342
STAT5B,2.4755088873292292,2.315544237636551,2.2646858204030598,2.2813528728882715
POU2AF1,1.5430234695350935,1.73260019721022,2.289791741534137,2.43550355271553
FOXM1,1.7874768074360543,1.2583579906227382,2.3970372718877337,2.0498410719035456
MEOX1,1.0665149386932318,2.350946164687467,1.4400755002826509,0.7343268928447018
LIN54,1.9129818891863484,1.2705161951025477,2.3330885472874607,1.6577989841275214
MEF2B,2.3330885472874607,1.06402427738078,1.0273901442009994,1.056589298893262
HMG20A,2.023523763586172,2.056530060054342,2.3242779176053063,1.8564696789230057
FOSL1,2.306886174893437,1.0690118188918192,1.084125456701867,1.084125456701867
CEBPA,0.9401789470488505,1.5756794325091463,0.9077436712956967,2.2729846232177553
NFE2L1,1.4959559586771076,0.8008949019348781,2.248292010627383,1.465764986397962
SMAD1,1.878692815707716,1.107233031712017,1.7621589994517648,2.2162892795412104
MXI1,2.2006639616381296,0.7254221145017421,0.6585591692726154,1.2644186152344292
RORC,1.1415825117266545,1.9915721637795698,2.18527904279865,1.0866667541305397
ZBTB43,1.1255821703802134,2.155201587561372,0.6769697311157952,1.2140375909420769
ESRRA,0.9120080700821543,2.1404954401716765,1.5756794325091463,1.9606099381756024
